district,district_hindi,district_nukta_hindi,district_english,district_transliteration,block,block_hindi,block_nukta_hindi,block_english,block_transliteration,gram_panchayat,gram_panchayat_english,village,village_english,composite_key,source_file,source_row_index
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Jotpur,Jotpur,Jotpur,Jotpur,mungelii|lormii|jotpur|jotpur,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,594517
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Chakla,Chakla,Chakla,Chakla,mungelii|lormii|chakla|chakla,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,594792
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Chakla,Chakla,Chhitapar Khurd,Chhitapar Khurd,mungelii|lormii|chakla|chhitapar khurd,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,594912
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Gatapar,Gatapar,Gatapar,Gatapar,mungelii|lormii|gatapar|gatapar,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,594919
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Gatapar,Gatapar,Amlidih,Amlidih,mungelii|lormii|gatapar|amlidih,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,594951
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Navagaon Dhelka,Navagaon Dhelka,Nawagaon Dhelka,Nawagaon Dhelka,mungelii|lormii|navagaon dhelka|nawagaon dhelka,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,594957
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Rajpalpur,Rajpalpur,Rajpalpur,Rajpalpur,mungelii|lormii|rajpalpur|rajpalpur,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,595010
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Lilapur,Lilapur,Lalsaikapa,Lalsaikapa,mungelii|lormii|lilapur|lalsaikapa,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,595036
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Lilapur,Lilapur,Lakhapuri,Lakhapuri,mungelii|lormii|lilapur|lakhapuri,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,595048
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Khaprikhurd,Khaprikhurd,Khapari Khurd,Khapari Khurd,mungelii|lormii|khaprikhurd|khapari khurd,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,595049
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Senguda,Senguda,Senguda,Senguda,mungelii|lormii|senguda|senguda,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,595153
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Khaprikhurd,Khaprikhurd,Ghatapani,Ghatapani,mungelii|lormii|khaprikhurd|ghatapani,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,595399
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Fuljhar,Fuljhar,Fuljhar,Fuljhar,mungelii|lormii|fuljhar|fuljhar,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,595488
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Fulwari,Fulwari,Phulwari,Phulwari,mungelii|lormii|fulwari|phulwari,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,595598
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Charnitola,Charnitola,Charnitola,Charnitola,mungelii|lormii|charnitola|charnitola,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,596009
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Dharampura,Dharampura,Dharampura,Dharampura,mungelii|lormii|dharampura|dharampura,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,596149
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Hardi,Hardi,Hardi,Hardi,mungelii|lormii|hardi|hardi,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,596279
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Patharra,Patharra,Patharra,Patharra,mungelii|lormii|patharra|patharra,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,596476
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Patharra,Patharra,Raitra Khurd,Raitra Khurd,mungelii|lormii|patharra|raitra khurd,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,596698
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Bodtara Kala,Bodtara Kala,Bodtara Kalan,Bodtara Kalan,mungelii|lormii|bodtara kala|bodtara kalan,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,596754
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Ghatoli,Ghatoli,Ghatholi,Ghatholi,mungelii|lormii|ghatoli|ghatholi,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,597159
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Golhapara,Golhapara,Golhapara,Golhapara,mungelii|lormii|golhapara|golhapara,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,597373
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Golhapara,Golhapara,Meghapara,Meghapara,mungelii|lormii|golhapara|meghapara,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,597539
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Khairwar Khurd,Khairwar Khurd,Khairwar Khurd,Khairwar Khurd,mungelii|lormii|khairwar khurd|khairwar khurd,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,597605
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Hardi,Hardi,Khektara,Khektara,mungelii|lormii|hardi|khektara,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,597822
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Nathalapara,Nathalapara,Nathelapara,Nathelapara,mungelii|lormii|nathalapara|nathelapara,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,597863
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Nathalapara,Nathalapara,Dadhipara,Dadhipara,mungelii|lormii|nathalapara|dadhipara,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,597915
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Pardeshikapa,Pardeshikapa,Kanharpur,Kanharpur,mungelii|lormii|pardeshikapa|kanharpur,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,597936
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Pardeshikapa,Pardeshikapa,Pardeshikapa,Pardeshikapa,mungelii|lormii|pardeshikapa|pardeshikapa,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,597942
